37,วิศวกรรมการบินและอวกาศ,15,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
38,วิศวกรรมสิ่งแวดล้อม,25,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
39,วิศวกรรมวัสดุ,30,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
40,วิศวกรรมโยธา-ทรัพยากรน้ำ,40,-,วิทย์-คณิต,x̅,x̅,-,x̅,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
41,วิศวกรรมเครื่องกล (ภาคพิเศษ),50,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
42,วิศวกรรมไฟฟ้า (ภาคพิเศษ),65,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
43,วิศวกรรมอุตสาหการ (ภาคพิเศษ),45,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
44,วิศวกรรมเคมี (ภาคพิเศษ),40,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
45,วิศวกรรมไฟฟ้าเครื่องกลการผลิต (ภาคพิเศษ),15,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
46,วิศวกรรมวัสดุ (ภาคพิเศษ),35,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
47,วิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์ (ภาคพิเศษ),25,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
48,การจัดการเทคโนโลยีการบิน (ภาคพิเศษ),25,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,/,/,-,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
49,วิศวกรรมเครื่องกล (นานาชาติ),10,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
50,วิศวกรรมไฟฟ้าเครื่องกลการผลิต (นานาชาติ),5,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
51,วิศวกรรมซอฟต์แวร์และความรู้ (นานาชาติ),10,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
52,วิศวกรรมการบินและอวกาศ-บริหารธุรกิจ (นานาชาติ),10,-,วิทย์-คณิต,/,x̅,-,x̅,-,-,-,-,-,-,x̅+10,-,-,-,-,-,40,-,-,เลือกวิชาสามัญ (29)หรือ O-NET (03)
53,วิศวกรรมไฟฟ้า (ภาคภาษาอังกฤษ),5,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
54,วิศวกรรมอุตสาหการ (ภาคภาษาอังกฤษ),5,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
55,วิศวกรรมสิ่งแวดล้อม (ภาคภาษาอังกฤษ),5,-,วิทย์-คณิต,/,/,-,/,-,-,-,∑x̅,-,-,-,-,-,-,-,-,16,-,-,-
56,พลศึกษา,4,2,-,/,-,-,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
57,สุขศึกษา,-,2,-,/,-,-,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
58,คหกรรมศาสตรศึกษา,-,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,-,-,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
59,การสอนคณิตศาสตร์,10,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,/,-,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
60,การสอนวิทยาศาสตร์,10,2.5,วิทย์-คณิต,/,-,/,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
61,ธุรกิจและคอมพิวเตอร์ศึกษา,5,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,-,-,-,-,/,-,-,/,/,/,/,-,-,-,-,16,-,-,-
62,เศรษฐศาสตร์,34,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,x̅,-,-,-,-,-,GAT ตอน 2≥24,/,/,/,/,-,-,-,-,16,-,-,-
63,เศรษฐศาสตร์เกษตรและทรัพยากร,10,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,90,60,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
64,เศรษฐศาสตร์สหกรณ์,45,2,วิทย์-คณิต/ ศิลป์-คำนวณ,/,/,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
65,ธุรกิจการเกษตร,10,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,90,60,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
66,เศรษฐศาสตร์ (ภาคพิเศษ),39,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,/,x̅,-,-,-,-,-,GAT ตอน 2≥24,/,/,/,/,-,-,-,-,16,-,-,-
67,เศรษฐศาสตร์เกษตรและทรัพยากร (ภาคพิเศษ),20,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,90,60,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
68,เศรษฐศาสตร์สหกรณ์ (ภาคพิเศษ),45,2,วิทย์-คณิต/ ศิลป์-คำนวณ,/,/,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
69,ธุรกิจการเกษตร (ภาคพิเศษ),20,2.5,วิทย์-คณิต/ ศิลป์-คำนวณ,90,60,-,-,-,-,-,-,/,/,20,20,-,-,-,-,16,-,-,-
70,เศรษฐศาสตร์ (ภาคภาษาอังกฤษ),25,-,-,/,60,-,-,-,-,-,GAT ตอน 2≥75,/,/,/,/,-,-,-,-,16,-,-,-
71,เศรษฐศาสตร์การประกอบการ (นานาชาติ),20,2,-,/,60,-,-,-,-,-,GAT ตอน 2≥75,/,/,/,/,-,-,-,-,16,-,-,-
72,สังคมวิทยาและมานุษยวิทยา,5,2.5,-,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
73,จิตวิทยา (จิตวิทยาชุมชน),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
74,จิตวิทยา (จิตวิทยาคลินิก),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
75,จิตวิทยา (จิตวิทยาพัฒนาการ),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
76,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
77,รัฐศาสตร์ (การปกครอง),2,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
78,รัฐศาสตร์ (ความสัมพันธ์ระหว่างประเทศ),2,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-81),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
79,รัฐศาสตร์ (บริหารงานยุติธรรมและความปลอดภัย),2,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
80,รัฐประศาสนศาสตร์,2,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,/,-,-,-,-,16,-,-,-
81,นิติศาสตร์,10,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,/,-,-,-,-,16,-,-,-
82,ประวัติศาสตร์,30,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-83),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
83,จิตวิทยา (จิตวิทยาชุมชน) (ภาคพิเศษ),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
84,จิตวิทยา (จิตวิทยาคลินิก) (ภาคพิเศษ),10,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
85,จิตวิทยา (จิตวิทยาพัฒนาการ) (ภาคพิเศษ),15,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
86,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ) (ภาคพิเศษ),15,2.5,วิทย์-คณิต,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
87,รัฐศาสตร์ (การปกครอง) (ภาคพิเศษ),7,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-81),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
88,รัฐศาสตร์ (ความสัมพันธ์ระหว่างประเทศ) (ภาคพิเศษ),7,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-81),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
89,รัฐศาสตร์ (บริหารงานยุติธรรมและความปลอดภัย) (ภาคพิเศษ),7,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-81),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
90,รัฐประศาสนศาสตร์ (ภาคพิเศษ),10,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-81),,,,,,-,/,/,/,/,-,-,-,-,16,-,-,-
91,ภูมิศาสตร์ (ภาคพิเศษ),30,2.5,-,/,/,/,-,-,-,-,-,/,/,/,/,/,/,/,-,16,-,-,-
92,นิติศาสตร์ (ภาคพิเศษ),55,2.5,-,/,เลือกสอบ PAT1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,/,-,-,-,-,16,-,-,-
93,สัตวแพทยศาสตร์,86,3.2,-,-,-,-,-,-,-,-,-,-,-,30,30,30,30,30,150,16,-,-,-
94,เทคโนโลยีการบรรจุ,28,2.75,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
95,เทคโนโลยีชีวภาพ,25,2.75,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
96,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร,25,2.75,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
97,วิทยาศาสตร์และเทคโนโลยีการอาหาร,30,3,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅+40,16,-,-,-
98,วิทยาศาสตร์และเทคโนโลยีสิ่งทอ,25,2.5,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
99,เทคโนโลยีการบรรจุ (ภาคพิเศษ),35,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
100,เทคโนโลยีชีวภาพ (ภาคพิเศษ),32,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
101,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร (ภาคพิเศษ),20,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
102,วิทยาศาสตร์และเทคโนโลยีการอาหาร (ภาคพิเศษ),30,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,16,-,-,-
103,วิทยาศาสตร์และเทคโนโลยีสิ่งทอ (ภาคพิเศษ),30,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
104,นวัตกรรมและเทคโนโลยีอุตสาหกรรมเกษตร (นานาชาติ),25,2,วิทย์-คณิต,-,-,-,-,-,-,-,-,-,-,/,/,/,/,/,∑x̅,31,-,-,-
105,ภาษาอังกฤษ,25,3,-,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-
106,ภาษาอังกฤษ (ภาคพิเศษ),40,3,-,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-
107,ภาษาฝรั่งเศส,16,3,-,/,-,-,-,-,-,PAT 7 (77),-,-,-,-,-,-,-,-,-,16,-,-,-
108,ภาษาเยอรมัน,10,3,-,40,-,-,-,-,-,PAT 7 (78), PAT 7 (78)≥135,-,-,-,-,-,-,-,-,16,-,-,-
109,ภาษาจีน,13,3,-,/,-,-,-,-,-,PAT 7 (80), PAT 7 (80)≥120,-,-,-,-,-,-,-,-,16,-,-,-
110,วรรณคดี (กลุ่มวิชาวรรณคดีไทย),15,-,-,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
111,วรรณคดี (กลุ่มวิชาวรรณคดีอังกฤษ),10,-,-,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
112,สื่อสารมวลชน,7,2.75,-,/,เลือกสอบ PAT 1 หรือ PAT 7 (77-82),,,,,,-,/,/,/,-,-,-,-,-,16,-,-,-
113,ภาษาไทย,10,2.75,-,/,-,-,-,-,-,-,-,/,/,/,-,-,-,-,-,16,-,-,-
114,ภาษาตะวันออก (กลุ่มวิชาภาษาจีนธุรกิจ) (ภาคพิเศษ),50,3,-,30,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,16,-,-,-
115,นวัตกรรมการท่องเที่ยว,12,-,-,/,-,-,-,-,-,เลือก 1 วิชา,-,/,/,/,-,-,-,-,-,16,-,-,-
116,การจัดการการท่องเที่ยวเชิงบูรณาการ (หลักสูตรนานาชาติ),15,-,-,/,-,-,-,-,-,-,สัดส่วนวิชา 85=25%,-,-,-,-,-,-,-,-,/,-,-,สัดส่วนวิชา 03=75%
117,ดนตรีตะวันตก,10,-,-,เลือก 1 วิชา จากวิชาสามัญ ภาษาอังกฤษ (รหัส 29) หรือ GAT (รหัส 85) หรือ O-NET ภาษาอังกฤษ (รหัส 03) 16% ของคะแนนเต็ม และสอบความถนัดเฉพาะ,,,,,,,,,,,,,,,,,,,
118,ดนตรีไทย,20,-,-,เลือก 1 วิชา จากวิชาสามัญ ภาษาอังกฤษ (รหัส 29) หรือ GAT (รหัส 85) หรือ O-NET ภาษาอังกฤษ (รหัส 03) 16% ของคะแนนเต็ม และสอบความถนัดเฉพาะ,,,,,,,,,,,,,,,,,,,
119,การเงิน,35,2,-,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
120,การจัดการ,35,3,วิทย์-คณิต/ศิลป์-คำนวณ,/,/,-,-,-,-,-,-,/,/,/,/,-,-,-,∑x̅+40,16,-,-,-
121,การจัดการการผลิต,6,2.5,วิทย์-คณิต,/,/,-,-,-,-,-,-,/,/,/,/,-,-,-,∑x̅,16,-,-,-
122,การจัดการการผลิต,4,3,ศิลป์-คำนวณ,/,/,-,-,-,-,-,-,/,/,/,/,-,-,-,∑x̅,16,-,-,-
123,การตลาด,40,2.75,วิทย์-คณิต/ศิลป์-คำนวณ,/,/,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,-,-,-
124,บัญชี,80,3,-,180,x̅+30,-,-,-,-,-,-,-,-,x̅,x̅,-,-,-,∑x̅+40,16,-,-,-
125,บัญชี (ภาคพิเศษ),80,2.75,-,150,x̅+30,-,-,-,-,-,-,-,-,x̅,x̅,-,-,-,∑x̅+40,16,-,-,-
126,เทคนิคการสัตวแพทย์,45,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,GAT ตอน 2≥40,-,-,/,/,/,/,/,∑x̅,16,-,-,-
127,การพยาบาลสัตว์,45,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,GAT ตอน 2≥40,-,-,/,/,/,/,/,∑x̅,16,-,-,-
128,การพยาบาลสัตว์ (ภาคพิเศษ),40,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,GAT ตอน 2≥40,-,-,/,/,/,/,/,∑x̅,16,-,-,-
129,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต,20,-,-,/,-,/,-,/,-,-,สัดส่วนวิชาGAT = 20%PAT 2 = 10%PAT 4 = 50%,-,-,-,-,-,-,-,-,20,20,20,"สัดส่วนวิชา03, 04, 05 = 20%"
130,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,30,-,-,/,-,/,-,/,-,-,สัดส่วนวิชาGAT = 20%PAT 2 = 10%PAT 4 = 50%,-,-,-,-,-,-,-,-,20,20,20,"สัดส่วนวิชา03, 04, 05 = 20%"
131,หลักสูตรวิทยาศาสตรบัณฑิต (สถาปัตยกรรม),10,-,-,/,-,-,-,/,-,-,สัดส่วนวิชาGAT = 20%PAT 4 = 50%,-,-,-,-,-,-,-,-,20,25,25,"สัดส่วนวิชา03, 04, 05 = 30%"
132,วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,30,2.5,วิทย์-คณิต,/,-,-,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
133,เครื่องจักรกลและเมคคาทรอนิกส์เกษตร,5,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
134,สัตวศาสตร์,5,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
135,เทคโนโลยีชีวภาพทางการเกษตร,5,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
136,เกษตรศาสตร์ (ยังไม่สังกัดสาขา),10,-,วิทย์-คณิต,/,/,/,-,-,-,-,-,-,-,/,/,/,/,/,-,16,-,-,-
137,วิศวกรรมเกษตร,10,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
138,วิศวกรรมเครื่องกล,10,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
139,วิศวกรรมโยธา-ชลประทาน,7,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
140,วิศวกรรมโยธา,20,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
141,วิศวกรรมการอาหาร,20,-,วิทย์-คณิต,/,-,/,/,-,-,-,-,-,-,/,/,/,/,-,-,16,-,-,-
