"1. ผู้สมัครต้องมีคุณสมบัติด้านศิลปวัฒนธรรม ข้อใดข้อหนึ่งดังต่อไปนี้
1.1 เป็นผู้มีความสามารถเล่นเครื่องดนตรีไทย ดนตรีสากล และดนตรีพื้นบ้านพื้นเมืองอีสาน
1.2 เป็นผู้มีความสามารถทางด้านนาฏศิลป์ไทย โขน ละคร
1.3 เป็นผู้มีความสามารถในการร้องเพลงไทยเดิม ไทยลูกทุ่ง ไทยสากล และขับร้องประสานเสียง",,,,,,,,,,,,,,,
"* วิชาเฉพาะ (60%)
* วิชา GAT/PAT ที่ใช้ในการคัดเลือก (40%)
** GAT
** PAT1
** PAT2
** PAT3
** PAT4
** PAT5
* O-NET
** วิชา 03
* เงื่อนไขเฉพาะ
* GPAX
* แผนการเรียน",,,,,,,,,,,,,,,
1208,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ),3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1209,สังคมศาสตร์,จิตวิทยา (จิตวิทยาชุมชน) ภาคพิเศษ,3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1210,สังคมศาสตร์,จิตวิทยา (จิตวิทยาพัฒนาการ) ภาคพิเศษ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
1211,สังคมศาสตร์,จิตวิทยา (จิตวิทยาอุตสาหกรรมและองค์การ) ภาคพิเศษ,3,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,วิทย์-คณิต
140,สัตวแพทยศาสตร์,สัตวแพทยศาสตร์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,3.80,-
151,อุตสาหกรรมเกษตร,เทคโนโลยีการบรรจุ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
152,อุตสาหกรรมเกษตร,เทคโนโลยีชีวภาพ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
153,อุตสาหกรรมเกษตร,พัฒนาผลิตภัณฑ์อุตสาหกรรมเกษตร,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
154,อุตสาหกรรมเกษตร,วิทยาศาสตร์และเทคโนโลยีการอาหาร,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
155,อุตสาหกรรมเกษตร,วิทยาศาสตร์และเทคโนโลยีสิ่งทอ,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
156,อุตสาหกรรมเกษตร,นวัตกรรมและเทคโนโลยีอุตสาหกรรมเกษตร (นานาชาติ),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,31,สอบสัมภาษณเป็นภาษาอังกฤษ,2.50,วิทย์-คณิต
51,มนุษยศาสตร์,ปรัชญาและศาสนา,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,-
52,มนุษยศาสตร์,ภาษาไทย,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,-,-,16,,2.50,-
31,บริหารธุรกิจ,การเงิน,5,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,-,-,-,-,16,,2.00,-
32,บริหารธุรกิจ,การจัดการ,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,-,-,-,-,16,,2.75,วิทย์-คณิต/ศิลป์-คำนวณ
33,บริหารธุรกิจ,การจัดการการผลิต,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,-,-,-,-,16,,2.50,วิทย์-คณิต/ศิลป์-คำนวณ
34,บริหารธุรกิจ,บัญชี,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,x̅,x̅,-,-,-,-,16,,3.00,-
21,เทคนิคการสัตวแพทย์,เทคนิคการสัตวแพทย์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,3.00,วิทย์-คณิต
22,เทคนิคการสัตวแพทย์,การพยาบาลสัตว์,1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,3.00,วิทย์-คณิต
111,สถาปัตยกรรมศาสตร์,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,/,-,16,,2.75,วิทย์-คณิต
112,สถาปัตยกรรมศาสตร์,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,/,-,16,,2.75,วิทย์-คณิต
113,สถาปัตยกรรมศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต (สถาปัตยกรรม),1,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,-,-,-,/,-,16,,2.75,วิทย์-คณิต
130,สิ่งแวดล้อม,วิทยาศาสตร์และเทคโนโลยีสิ่งแวดล้อม,2,,ทดสอบทักษะทางศิลปวัฒนธรรม,/,/,/,-,-,-,16,,2.50,วิทย์-คณิต
